시군구,번지,단지명,전용면적,거래금액
경기도 부천시 괴안동,73-2,국경,39.36,"12,500"
경기도 부천시 괴안동,168-2,글래드빌,70.23,"41,500"
경기도 부천시 괴안동,129,네오빌,27.26,"11,950"
경기도 부천시 괴안동,70-6,대명 베르디움아파트,69.63,"36,900"
경기도 부천시 괴안동,120-12,대성,41.76,"13,600"
경기도 부천시 괴안동,171-6,대진,65.43,"34,300"
경기도 부천시 괴안동,171-6,대진,60.21,"29,500"
경기도 부천시 괴안동,171-6,대진,55.98,"30,000"
경기도 부천시 괴안동,104-3,대현부안,47.49,"13,500"
경기도 부천시 괴안동,106-1,대현청실,55.08,"33,000"
경기도 부천시 괴안동,106-1,대현청실,49.68,"33,000"
경기도 부천시 괴안동,산14,덕림현대,44.8,"14,400"
경기도 부천시 괴안동,산14,덕림현대,44.8,"15,000"
경기도 부천시 괴안동,Mar-14,드라포레아파트,51.89,"40,000"
경기도 부천시 괴안동,11월 06일,라온107,65.4332,"33,000"
경기도 부천시 괴안동,40-2,리아아파트,62.91,"26,000"
경기도 부천시 괴안동,40-2,리아아파트,62.91,"27,000"
경기도 부천시 괴안동,171-10,모아,43.32,"16,700"
경기도 부천시 괴안동,171-10,모아,43.32,"18,500"
경기도 부천시 괴안동,171-10,모아,56.04,"20,000"
경기도 부천시 괴안동,171-10,모아,43.32,"19,850"
경기도 부천시 괴안동,171-10,모아,46.95,"20,000"
경기도 부천시 괴안동,산16-7,복사골,41.445,"10,900"
경기도 부천시 괴안동,산16-7,복사골,41.445,"10,200"
경기도 부천시 괴안동,산16-7,복사골,41.445,"11,000"
경기도 부천시 괴안동,산16-7,복사골,41.445,"11,900"
경기도 부천시 괴안동,산16-7,복사골,44.64,"10,500"
경기도 부천시 괴안동,산16-7,복사골,41.445,"11,000"
경기도 부천시 괴안동,산16-7,복사골,41.445,"12,000"
경기도 부천시 괴안동,171-18,복지,42.66,"16,900"
경기도 부천시 괴안동,171-18,복지,54.9,"24,500"
경기도 부천시 괴안동,171-18,복지,42.66,"18,400"
경기도 부천시 괴안동,171-18,복지,42.66,"16,400"
경기도 부천시 괴안동,204-1,삼익3차,70.41,"35,000"
경기도 부천시 괴안동,204-1,삼익3차,70.41,"34,000"
경기도 부천시 괴안동,204-1,삼익3차,70.41,"35,300"
경기도 부천시 괴안동,204-1,삼익3차,56.67,"27,800"
경기도 부천시 괴안동,204-1,삼익3차,56.67,"27,500"
경기도 부천시 괴안동,204-1,삼익3차,56.67,"26,800"
경기도 부천시 괴안동,204-1,삼익3차,109.35,"48,000"
경기도 부천시 괴안동,204-5,삼익세라믹,75.51,"38,800"
경기도 부천시 괴안동,204-5,삼익세라믹,42.93,"19,500"
경기도 부천시 괴안동,204-5,삼익세라믹,75.51,"36,000"
경기도 부천시 괴안동,204-5,삼익세라믹,75.51,"38,200"
경기도 부천시 괴안동,204-5,삼익세라믹,84.93,"39,500"
경기도 부천시 괴안동,204-5,삼익세라믹,75.51,"37,000"
경기도 부천시 괴안동,204-5,삼익세라믹,70.41,"34,800"
경기도 부천시 괴안동,204-5,삼익세라믹,70.41,"36,400"
경기도 부천시 괴안동,204-5,삼익세라믹,75.51,"37,200"
경기도 부천시 괴안동,204-5,삼익세라믹,42.93,"19,700"
경기도 부천시 괴안동,204-5,삼익세라믹,56.67,"27,300"
경기도 부천시 괴안동,204-5,삼익세라믹,42.93,"18,900"
경기도 부천시 괴안동,204-5,삼익세라믹,84.93,"39,000"
경기도 부천시 괴안동,204-5,삼익세라믹,42.93,"20,700"
경기도 부천시 괴안동,204-5,삼익세라믹,84.93,"38,500"
경기도 부천시 괴안동,204-5,삼익세라믹,84.93,"41,000"
경기도 부천시 괴안동,204-5,삼익세라믹,42.93,"19,800"
경기도 부천시 괴안동,204-5,삼익세라믹,70.41,"36,000"
경기도 부천시 괴안동,99-1,신일해피트리,90.3,"44,700"
경기도 부천시 괴안동,99-1,신일해피트리,59.64,"35,000"
경기도 부천시 괴안동,99-1,신일해피트리,59.64,"35,200"
경기도 부천시 괴안동,99-1,신일해피트리,84.75,"42,500"
경기도 부천시 괴안동,99-1,신일해피트리,84.75,"47,800"
경기도 부천시 괴안동,99-1,신일해피트리,59.64,"36,500"
경기도 부천시 괴안동,99-1,신일해피트리,59.64,"36,300"
경기도 부천시 괴안동,99-1,신일해피트리,59.64,"35,800"
경기도 부천시 괴안동,99-1,신일해피트리,69.72,"43,500"
경기도 부천시 괴안동,99-1,신일해피트리,69.72,"43,000"
경기도 부천시 괴안동,187-5,신호,59.82,"23,900"
경기도 부천시 괴안동,99,아주,59.115,"27,900"
경기도 부천시 괴안동,99,아주,84.945,"40,900"
경기도 부천시 괴안동,167-10,역곡 푸르내 아파트,47.0862,"44,000"
경기도 부천시 괴안동,167-10,역곡 푸르내 아파트,52.1019,"37,500"
경기도 부천시 괴안동,128-2,역곡두진,84.96,"34,000"
경기도 부천시 괴안동,128-2,역곡두진,84.96,"35,000"
경기도 부천시 괴안동,164-6,염광,63.76,"23,000"
경기도 부천시 괴안동,164-6,염광,43.69,"14,900"
경기도 부천시 괴안동,164-6,염광,52.33,"22,000"
경기도 부천시 괴안동,164-6,염광,43.69,"14,400"
경기도 부천시 괴안동,164-6,염광,52.33,"19,700"
경기도 부천시 괴안동,164-6,염광,52.33,"21,000"
경기도 부천시 괴안동,164-6,염광,52.33,"20,900"
경기도 부천시 괴안동,164-6,염광,43.69,"15,000"
경기도 부천시 괴안동,164-6,염광,63.76,"24,000"
경기도 부천시 괴안동,164-6,염광,63.76,"25,000"
경기도 부천시 괴안동,268,이편한세상 온수역,59.9863,"80,000"
경기도 부천시 괴안동,268,이편한세상 온수역,59.9863,"78,500"
경기도 부천시 괴안동,268,이편한세상 온수역,59.9863,"80,000"
경기도 부천시 괴안동,268,이편한세상 온수역,59.9863,"77,000"
경기도 부천시 괴안동,268,이편한세상 온수역,59.9863,"81,800"
경기도 부천시 괴안동,36,조공1차,50.355,"28,000"
경기도 부천시 괴안동,36,조공1차,61.275,"30,000"
경기도 부천시 괴안동,36,조공1차,61.275,"35,000"
경기도 부천시 괴안동,36,조공1차,50.355,"28,900"
경기도 부천시 괴안동,36,조공1차,61.275,"34,800"
경기도 부천시 괴안동,32,조공2차,78.156,"43,000"
경기도 부천시 괴안동,32,조공2차,78.156,"44,500"
경기도 부천시 괴안동,32,조공2차,69.819,"30,000"
경기도 부천시 괴안동,87-14,청송,43.7,"6,000"
경기도 부천시 괴안동,107-7,청수1차,80.67,"33,700"
경기도 부천시 괴안동,107-7,청수1차,78.89,"36,200"
