"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210331"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 부천시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경기도 부천시 고강동","304-3","0304","0003","부강1차","49.08","202102","18","17,600","1","1987","원종로 118",""
"경기도 부천시 고강동","304-3","0304","0003","부강1차","49.08","202102","20","20,000","5","1987","원종로 118",""
"경기도 부천시 고강동","303-2","0303","0002","부강2차","36.9","202101","30","13,500","5","1988","성지로42번길 27",""
"경기도 부천시 고강동","292-6","0292","0006","부촌1차","38.27","202103","4","16,000","1","1988","고강로72번길 52",""
"경기도 부천시 고강동","292-6","0292","0006","부촌1차","38.27","202103","4","16,000","1","1988","고강로72번길 52","20210331"
"경기도 부천시 고강동","292-8","0292","0008","부촌2차","48.15","202102","25","16,000","2","1988","고강로72번길 62",""
"경기도 부천시 고강동","292-8","0292","0008","부촌2차","38.27","202103","6","17,000","2","1988","고강로72번길 62",""
"경기도 부천시 고강동","292-8","0292","0008","부촌2차","48.15","202103","11","20,000","2","1988","고강로72번길 62",""
"경기도 부천시 고강동","333-2","0333","0002","삼두","44.91","202102","20","14,000","4","1986","원종로119번길 46",""
"경기도 부천시 고강동","333-2","0333","0002","삼두","54.36","202102","20","18,200","2","1986","원종로119번길 46",""
"경기도 부천시 고강동","333-2","0333","0002","삼두","54.36","202103","10","15,000","1","1986","원종로119번길 46",""
"경기도 부천시 고강동","389-1","0389","0001","삼우(389-1)","42.03","202101","12","14,500","1","1987","고리울로52번길 6",""
"경기도 부천시 고강동","389-1","0389","0001","삼우(389-1)","42.03","202101","12","12,500","4","1987","고리울로52번길 6",""
"경기도 부천시 고강동","389-1","0389","0001","삼우(389-1)","42.03","202101","24","14,800","1","1987","고리울로52번길 6",""
"경기도 부천시 고강동","389-1","0389","0001","삼우(389-1)","42.03","202101","24","15,200","2","1987","고리울로52번길 6",""
"경기도 부천시 고강동","389-1","0389","0001","삼우(389-1)","42.03","202103","9","15,900","1","1987","고리울로52번길 6",""
"경기도 부천시 고강동","389-1","0389","0001","삼우(389-1)","42.03","202103","17","15,300","2","1987","고리울로52번길 6",""
"경기도 부천시 고강동","396","0396","0000","삼우(396)","38.97","202101","19","15,000","1","1988","고리울로52번길 5",""
"경기도 부천시 고강동","396","0396","0000","삼우(396)","38.97","202103","16","17,000","2","1988","고리울로52번길 5",""
"경기도 부천시 고강동","396","0396","0000","삼우(396)","46.26","202103","29","16,500","3","1988","고리울로52번길 5",""
"경기도 부천시 고강동","372-18","0372","0018","삼원","56.44","202103","19","19,000","5","1988","고리울로8번길 43",""
"경기도 부천시 고강동","380","0380","0000","상우(380)","55.12","202102","28","17,000","5","1989","고리울로15번길 30",""
"경기도 부천시 고강동","380","0380","0000","상우(380)","52.66","202103","1","17,500","2","1989","고리울로15번길 30",""
"경기도 부천시 고강동","411-2","0411","0002","상우(411-2)","40.88","202102","4","13,500","2","1989","수주로 47",""
"경기도 부천시 고강동","411-2","0411","0002","상우(411-2)","51.74","202102","27","13,800","4","1989","수주로 47",""
"경기도 부천시 고강동","411-2","0411","0002","상우(411-2)","40.88","202103","5","12,500","4","1989","수주로 47",""
"경기도 부천시 고강동","411-2","0411","0002","상우(411-2)","51.74","202103","5","14,200","3","1989","수주로 47",""
"경기도 부천시 고강동","397","0397","0000","새보미","47.61","202101","28","14,800","4","1986","고리울로64번길 20",""
"경기도 부천시 고강동","397","0397","0000","새보미","47.61","202101","30","15,000","5","1986","고리울로64번길 20",""
"경기도 부천시 고강동","416-5","0416","0005","서울","46.62","202101","27","11,500","4","1987","역곡로482번길 149",""
